index,code,Name,Description,SegmentType,FirewallBlocking,Type
56,3006626,Agriculture & Farming - Duck Owner,"duck breeding and duck owners, excluding content related to zoology as rated by the IAS semantic intelligence engine.  This segment avoids pages with negative content.",Vertical,FALSE,Positive
57,3006627,Agriculture & Farming - Horse Owner,"horse breeding and horse owners, excluding content related to zoology as rated by the IAS semantic intelligence engine.  This segment avoids pages with negative content.",Vertical,FALSE,Positive
58,3006632,Starting a Family,"topics of interest for an audience looking to start a family or who have recently started a family. This includes content about baby showers, daycare/early childhood education, parenting babies and toddlers, and more.",Audience Proxy,FALSE,Positive
59,3006633,Marriage,"topics of interest for an audience looking to get married. This includes content about weddings, honeymoons, bachelor/ette parties, marriage, wedding dresses and more.",Audience Proxy,FALSE,Positive
60,3006634,New Career,"topics of interest for an audience looking to start a new job. This includes content about apprenticeships, career advice/planning, job search, temporary jobs, the job market and more.",Audience Proxy,FALSE,Positive
61,3006635,Car Ownership,topics of interest for an audience looking to buy a car. This includes content about auto buying and selling and car insurance.,Audience Proxy,FALSE,Positive
62,3006636,Home Ownership,"topics of interest for an audience looking to buy a home. This includes content about houses, apartments, real estate buying and selling, vacation properties and developmental sites.",Audience Proxy,FALSE,Positive
63,3006637,Holiday Shoppers,"topics of interest for an audience who shops during national, civic, and religious holidays. This includes content about gifts and greeting cards, coupons and discounts, malls and shopping centers, e-commerce and more.",Audience Proxy,FALSE,Positive
64,3006638,Business Travelers,topics of interest for an audience who travels for business. This includes content about business travel.,Audience Proxy,FALSE,Positive
65,3006639,Small Business Owners,"topics of interest for an audience who owns a small business. This includes content about small and medium-sized businesses, startups, angel investments/business loans and more.",Audience Proxy,FALSE,Positive
66,3006642,Self-Employed,"topics of interest for an audience who is self-employed/freelances. This includes content about freelancing, welfare laws, gig workers, tax laws and more.",Audience Proxy,FALSE,Positive
67,3006643,Car Enthusiasts,topics of interest for car enthusiasts. This includes content about autos and the automotive industry.,Audience Proxy,FALSE,Positive
68,3006644,Sports Enthusiasts,"topics of interest for sports enthusiasts. This includes content about sporting events, sports radio, and sports TV.",Audience Proxy,FALSE,Positive
69,3006645,Fitness Enthusiasts,"topics of interest for fitness enthusiasts. This includes content about running, fitness video games, sports equipment and more.",Audience Proxy,FALSE,Positive
70,3006646,Music Enthusiasts,topics of interest for music enthusiasts. This includes content about concerts and music events.,Audience Proxy,FALSE,Positive
71,3006647,Tech Enthusiasts,topics of interest for tech enthusiasts. This includes content about technology and computing.,Audience Proxy,FALSE,Positive
72,3006819,Software and IT Professionals,"topics of interest for software developers and IT implementers. This includes content about IT, computer certification/networking, software development, programming languages, cloud computing, the tech industry, and more.",Audience Proxy,FALSE,Positive
73,3006893,Pet Owners,"topics of interest for people who own common household pets. This includes content about birds, cats, dogs, fish and aquariums, pet adoption, pet supplies, and more.",Audience Proxy,FALSE,Positive
74,3006910,Automotive - Auto Racing,"cars in the context of auto racing, including Formula 1, NASCAR, rally, and motorcycle racing as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
75,3007008,Sustainability & Environmentally Conscious,"topics of interest for people who are passionate and mindful about sustainable living and the environment. This includes content about the environment, recycling, sustainability, healthy cooking and eating, and more.",Audience Proxy,FALSE,Positive
76,3007356,Education,"education of all grades, education laws, college sports, student loans, and scholarships as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
77,3007488,Food & Beverage - Meat,"content relating to meat, including barbecues, grilling, fast food, and more, as rated by the IAS semantic intelligence engine. This segment avoids content about food allergies.",Vertical,FALSE,Positive
78,3007499,Expecting Mothers,"topics of interest for expecting mothers. This includes content about pregnancy, birth, baby showers, daycare, and more. NOTE: This segment is a more focused version of the 'Starting a Family' segment, specific to expecting mothers.",Audience Proxy,FALSE,Positive
79,3007500,Gluten & Dairy Free,"topics of interest for people with food allergies. This includes content about celiac disease and lactose-intolerance, as well as recipes & advice for gluten-free and dairy-free diets.",Audience Proxy,FALSE,Positive
80,3007631,UEFA European Championship,UEFA European Championship as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
81,3005007,Automotive - City Car,"cars in the context of careers, style and fashion, electric/green vehicles, sports, and active activities as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
82,3005009,Automotive - Family Car,"cars in the context of family outdoor activities, theme parks, and travel with children as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
83,3005022,Automotive - Luxury Car,"cars in the context of luxury homes and goods, jewelry, bank and financial planning, and sports like golf as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
84,3005030,Automotive - Sport Car,"cars in the context of luxury goods, sports, and auto racing as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
85,3005032,Automotive - SUV,"cars in the context of success, sports, family with kids, outdoor activities, and adventure travels as rated by the iAS semantic intelligence engine.",Vertical,FALSE,Positive
86,3005036,Baby Care,"baby care, in the context of a baby's health and well-being as rated by the IAS semantic intelligence engine. This segment avoids pages with negative sentiments.",Vertical,FALSE,Positive
87,3005037,Baby Care - Baby Food,"baby food, in the context of motherhood, babies and toddlers, children's baby food books, home, and family as rated by the IAS semantic intelligence engine. This segment avoids pages with negative sentiments.",Vertical,FALSE,Positive
88,3005038,Consumer Electronics - Gaming Consoles,"game console, in context of comics, sci-fi, action movies as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
89,3005039,"Consumer Electronics - Laptops, Desktops, PCs","laptop/PCs, in the context of work and PCs, electronics, and internet technology as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
90,3005040,"Consumer Electronics - Smartphones, Tablets","smartphones and tablets, in context of style, consumer electronics, computer and technology, innovation, and music as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
91,3005041,"Consumer Electronics - TV, Smart TV","TV, in the context of consumer electronics, cinema, internet technology, and innovation as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
92,3005042,Consumer Electronics - Wearables,"wearables, in the context of consumer electronics and digital trends as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
93,3005043,Consumer Electronics - Appliances,"household appliances, in the context of family life and shopping as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
94,3005044,Consumer Electronics - Apple/iPhone,"Apple products, in the context of consumer electronics, technology, digital trends, and home automation as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
95,3005045,Consumer Electronics - Samsung,"Samsung products, in the context of consumer electronics, technology, digital trends, and home automation as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
96,3005046,Entertainment - Action/Adventure Movies & Books,"literature and movies, in the context of the action/adventure genre as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
97,3005047,Entertainment - Anime/Animation Movies & Books,"literature and movies, in the context of the anime/animation genre and comic books as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
98,3005048,Entertainment - Children/Family Movies & Books,"literature and movies, in the context of the children/family genre as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
99,3005049,Entertainment - Brand Classic Movies & Books,"literature and movies, in the context of the classics genre as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
100,3005050,Entertainment - Comedy Movies & Books,"literature and movies, in the context of the comedy genre as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
101,3005051,Entertainment - Crime Movies & Books,"literature and movies, in the context of the crime/thriller genre as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
102,3005052,Entertainment - Documentary,"literature and movies, in the context of the documentary genre as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
103,3005053,Entertainment - Horror Movies & Books,"literature and movies, in the context of the horror genre as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
104,3005054,Entertainment - LGBTQ+ Movies & Books,"literature and movies, in the context of the LGBTQ+ genre as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
105,3005055,Entertainment - Music Events,"music events, in the context of music, dance, and concerts as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
106,3005057,Entertainment - Pay-per-view Services,"pay-per-view services, in the context of movies, sports, and TV shows as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
107,3005058,Entertainment - Political Movies & Books,"literature and movies, in the context of the political genre as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
108,3005059,Entertainment - Romance Movies & Books,"literature and movies, in the context of the romance genre as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
109,3005060,Entertainment - Sci-fi/Fantasy Movies & Books,"literature and movies, in the context of the sci-fi/fantasy genre as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
110,3005061,Entertainment - Sports Events,"sporting events, tournaments or championships as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
111,3005062,Entertainment - Brand Sports Movies & Books,"literature and movies, in the context of the sports genre as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
112,3005063,Entertainment - Theater Events,"cultural events, in the context of theater and fine art, classical music, opera, ballet, poetry, and literature as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
113,3005064,Entertainment - War/Military Movies & Books,"literature and movies, in the context of the war/military genre as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
114,3005065,Entertainment - Western Movies & Books,"literature and movies, in the context of the Western genre as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
115,3005066,Fashion - Kid's Apparel,"kid's apparel, in the context of family, school, and clothing as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
116,3005067,Fashion - Luxury,"luxury products, in the context of luxury goods, cars, fashion, accessories, travel, restaurants, and homes as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
117,3005068,Fashion - Men's Fashion,"men's clothes and shoes, in the context of men's fashion, beauty, and style as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
118,3005069,Fashion - Women's Fashion,"ladie's clothes and shoes, in the context of style, fashion, and cosmetics as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
119,3005070,Financial - Bank Account,"bank accounts, in the context of work and career, self-realization, and finance as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
120,3005071,Financial - Business Bank Account,"bank accounts, in the context of work and career, self-realization, and finance as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
121,3005072,Financial - Family Bank Account,"bank accounts, in the context of family, saving and safety as rated by the IAS semantic intelligence engine. This segment avoids pages about bankruptcy.",Vertical,FALSE,Positive
122,3005073,Financial - Credit Cards,"credit cards, in the context of shopping, clothing, ecommerce, shows and events, holidays and travels as rated by the IAS semantic intelligence engine. This segment avoids pages about bankruptcy.",Vertical,FALSE,Positive
123,3005074,Financial - Loans & Mortgages,"loans and mortgages, in the context of personal/business loans, mortgages, auto and real estate buying as rated by the IAS semantic intelligence engine. This segment avoids negative news about loans and mortgages.",Vertical,FALSE,Positive
124,3005075,Financial - Personal/Family Investments,"investments, in the context of financial planning and luxury goods as rated by the IAS semantic intelligence engine. This segment avoids pages about bankruptcy.",Vertical,FALSE,Positive
125,3005076,Food & Beverage - Beer,"beer, in the context of sports and sporting events, cinema, TV shows, and music as rated by the IAS semantic intelligence engine. This segment avoids content related to allergies, substance abuse, and alcoholism.",Vertical,FALSE,Positive
126,3005077,Food & Beverage - Biscuits & Cereal,"breakfast products, in the positive context of family, children, and healthy food as rated by the IAS semantic intelligence engine. This segment avoids pages about food allergies.",Vertical,FALSE,Positive
127,3005078,Food & Beverage - Gourmet Food,"high quality food, in the context of good restaurants, haute cuisine, and luxury goods as rated by the IAS semantic intelligence engine. Also, this segment includes pages about classical concerts, fine art, and classical music. This segment avoids pages about food allergies.",Vertical,FALSE,Positive
128,3005079,Food & Beverage - Healthy Food,"healthy/low-calorie food, in the context of health, wellness, and fitness as rated by the IAS semantic intelligence engine. This segment avoids content about food allergies.",Vertical,FALSE,Positive
129,3005080,Food & Beverage - Ready-to-eat Meal,"ready-to-eat meals, in the context of family, school, and active lifestyles as rated by the IAS semantic intelligence engine. This segment avoids content about food allergies.",Vertical,FALSE,Positive
130,3005081,Food & Beverage - Salty Snacks,"salty snacks, in the context of recreational situations (comics, cartoons, cinema, and music), video and computer games, and work as rated by the IAS semantic intelligence engine. This segment avoids content with food allergies.",Vertical,FALSE,Positive
131,3005082,Food & Beverage - Soft Drinks,"soft drinks, in the context of sci-fi and fantasy, comics, music, video and computer games, sport, television, and home video/DVDs as rated by the IAS semantic intelligence engine. This segment avoids content about food allergies.",Vertical,FALSE,Positive
132,3005083,Food & Beverage - Spirits,"liquor/spirits, in the context of luxury goods, men's fashion, classical music, opera, and cigars as rated by the IAS semantic intelligence engine. This segment avoids content about substance abuse.",Vertical,FALSE,Positive
133,3005084,Food & Beverage - Sweet Snacks,"sweets or chocolate, in the context of family and television, children and teens as rated by the IAS semantic intelligence engine. This segment avoids content about food allergies.",Vertical,FALSE,Positive
134,3005085,Food & Beverage - Vegetarian/Vegan,"vegetarian food, in the context of nature, gardening, health, yoga, and alternative medicine as rated by the IAS semantic intelligence engine. This segment avoids content about food allergies.",Vertical,FALSE,Positive
135,3005086,Food & Beverage - Wine,"wine, in the context of haute cuisine, restaurant, poetry, theatre, jazz concert, fine art, and ballet as rated by the IAS semantic intelligence engine. This segment avoids content about food allergies and substance abuse.",Vertical,FALSE,Positive
136,3005087,Gambling - Online Betting,"betting, in the context of sporting events, social networks, and gossip as rated by the IAS semantic intelligence engine. This segment avoids content about bankruptcy and criminal content.",Vertical,FALSE,Positive
137,3005088,Gambling - Online Gambling,"gambling, in the context of poker, celebrity gossip, television, the lottery, and video and computer games as rated by the IAS semantic intelligence engine. This segment avoids content about criminal content.",Vertical,FALSE,Positive
138,3005089,Games & Toys - Children's Toys,"toys, in the context of family and children, comics, and children books as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
139,3005090,Games & Toys - Video & Online Games,"Video games, in the context of social networks, comics, sci-fi, and fantasy as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
140,3005091,House Care - Cleaning Appliances,"cleaning appliances, in the context of home and garden, and shopping in general as rated by the IAS semantic intelligence engine. This segment avoids content about house fires.",Vertical,FALSE,Positive
141,3005092,House Care - Home Cleaning Products,"cleaning products, in the context of family and parenting, home and garden, and environmentalism as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
142,3005093,House Care - Washing Soap/Powder,"washing products, in the context of nature and green solutions, home, and health as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
143,3005094,Insurance - Car Insurance,"car insurance, in the context of automotive, road travel, school, and work as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
144,3005095,Insurance - Health Insurance,"health insurance, in the context of personal and family life, health, and finance as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
145,3005096,Insurance - Home Insurance,"home insurance, in the context of financial planning, money savings, and house/family safety as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
146,3005097,Personal Care - Body Care,"care of the body, in the context of beauty, health, fitness, and fashion as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
147,3005098,Personal Care - Hair Loss,"hair loss products, in the context of beauty, cosmetics, fashion, and healthy living as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
148,3005099,Personal Care - Makeup,"cosmetics, in the context of beauty and fashion, celebrities, and gossip as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
149,3005100,Personal Care - Men's Care,"men's personal and hair care, including content like fitness, fashion, and health as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
150,3005101,Personal Care - Plastic Surgery,"cosmetic surgeries, in the context of style, fashion, gossip, entertainment, and cosmetics as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
151,3005102,Personal Care - Women's Hairstyling,"care of women's hair, in the context of style and fashion, beauty, and cosmetics as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
152,3005103,Pharma - Children's Flu,"children's cold and flu, in the context of family, home and garden, school, and travel with kids as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
153,3005104,Pharma - Senior's Flu,"flu for seniors, in the context of health but also of home and gardening, travel, and cultural events as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
154,3005105,Pharma - Hay Fever,"allergies like hay fever, etc in the context of outdoor activities, camping, trekking, healthy food, and alternative medicine as rated by the IAS semantic intelligence engine. This segment avoids content about substance abuse.",Vertical,FALSE,Positive
155,3005106,Pharma - Headache & Migraine,"headache and migraine sufferers, in the context of anxiety, stress, insomnia, and energy for work and family as rated by the IAS semantic intelligence engine. This segment avoids content about substance abuse.",Vertical,FALSE,Positive
156,3005107,Pharma - Painkillers,"painkillers, in the context of pain management and pain-related diseases (pain therapy, chronic pain, headaches, and arthritis, etc.) as rated by the IAS semantic intelligence engine. This segment avoids content about substance abuse and negative news about painkillers.",Vertical,FALSE,Positive
157,3005108,Pharma - Vitamins & Supplements,"vitamin, mineral supplements, etc., in the context of work, active lifestyles, fitness, sports, and stress as rated by the IAS semantic intelligence engine. This segment avoids content about substance abuse.",Vertical,FALSE,Positive
158,3005109,Retail - Art & Entertainment,"DVDs, books and music stores, in the context of arts and entertainment, consumer electronics, family, and hobbies like reading and playing music as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
159,3005110,Retail - Consumer Electronics,"consumer electronics, in the context of shopping, technology, family and video games as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
160,3005111,Retail - Fashion,"fashion, in the context of shopping, style and fashion, healthy living, and consumer electronics as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
161,3005112,Retail - Food,"food and drink, in the context of family life, home, and garden and shopping as rated by the IAS semantic intelligence engine. This segment avoids content about food allergies.",Vertical,FALSE,Positive
162,3005113,Retail - Home & Garden,"home and garden, in the context of shopping, family life, home, hobbies, and interests as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
163,3005114,Retail - Objects for Children,"objects for children, in the context of shopping, family life, home and garden and family traveling as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
164,3005115,Retail - Office Furniture,"furniture/interior decorating, in the context of workplace and commercial areas as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
165,3005116,Retail - Pet Food,"pet food and pet products, in the context of shopping, family life, home, garden, and veterinary medicine as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
166,3005117,Retail - Pharmaceuticals,"pharmaceuticals, in the context of shopping, pharma industry, health and cosmetics and fitness and medicine as rated by the IAS semantic intelligence engine. This segment avoids pages with content about substance abuse.",Vertical,FALSE,Positive
167,3005118,Retail - Sports Equipment,"sports equipment, in the context of shopping, sports, and healthy living as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
168,3005119,Retail - Supermarkets & Department Stores,"supermarkets and department stores, in the context of family life, home and garden, food and drink, shopping, and pets as rated by the IAS semantic intelligence engine. This segment avoids content about food allergies.",Vertical,FALSE,Positive
169,3005120,Society - Career Change,"career change, in the context of job search, career planning, and career advice as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
170,3005121,Society - Outdoor Activities,"outdoor activities, in the context of family activities, parks, and nature. This segment avoids content about pollution as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
171,3005122,Society - Donors & Volunteers/Philanthrophy/Medical Fund,"philanthropy, in the context of blood donation, volunteering, fundraising, children's rights, and charitable organization as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
172,3005123,Society - Starting a Family,"starting a family, in the context of family, marriage, pregnancy, motherhood, babies and toddlers, buying/selling homes, and mortgages as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
173,3005124,Society - Sweet Sixteen,"sweet Sixteen, in the context of teenagers, birthday parties, gifts, driver's license, and buying a car as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
174,3005125,Telco - Business Connectivity,"business connectivity, in the context of business, computer, and business travel as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
